
Начало измерений 02:03:42 16.01.2024

Канал №1 - Cтанина
Канал №2 - Подшипниковый узел справа сзади
Канал №3 - Лобовая часть слева спереди
Канал №4 - Подшипниковый узел слева спереди
Канал №5 - Подшипниковый узел слева спереди
Канал №6 - Лобовая часть слева сзади
Канал №7 - Лобовая часть справа спереди
Канал №8 - Лобовая часть справа сзади
Канал №9 - Магнитопровод статора
Канал №10 - Подшипниковый узел справа спереди
Канал №11 - Подшипниковый узел слева сзади
Канал №12 - Ротор сверху
Канал №13 - Ротор снизу
Канал №14 - Станина слева
Канал №15 - Станина слева
Канал №16 - Вал
Канал №17 - Клеммная коробка

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;Канал №10;Канал №11;Канал №12;Канал №13;Канал №14;Канал №15;Канал №16;Канал №17;
16;21.0134;39.7362;66.7249;36.4716;66.7249;52.5437;66.7249;66.7249;52.5437;38.3625;36.4716;54.0537;54.0537;32.0268;32.0268;43.0403;37.5336;
17;21.4517;40.9196;69.206;37.6294;69.206;54.4045;69.206;69.206;54.4045;39.603;37.6294;55.8068;55.8068;32.9034;32.9034;44.3551;38.6293;
18;21.8686;42.0452;71.5897;38.7419;71.5897;56.1923;71.5897;71.5897;56.1923;40.7949;38.7419;57.4744;57.4744;33.7372;33.7372;45.6058;39.6715;
19;22.2652;43.116;73.88;39.8107;73.88;57.91;73.88;73.88;57.91;41.94;39.8107;59.0607;59.0607;34.5304;34.5304;46.7955;40.6629;
20;22.6424;44.1345;76.0805;40.8376;76.0805;59.5604;76.0805;76.0805;59.5604;43.0403;40.8376;60.5696;60.5696;35.2848;35.2848;47.9272;41.606;
21;23.0012;45.1034;78.1947;41.8242;78.1947;61.1461;78.1947;78.1947;61.1461;44.0974;41.8242;62.005;62.005;36.0025;36.0025;49.0037;42.5031;
22;23.3426;46.025;80.2261;42.7722;80.2261;62.6695;80.2261;80.2261;62.6695;45.113;42.7722;63.3703;63.3703;36.6852;36.6852;50.0277;43.3564;
23;23.6673;46.9016;82.1777;43.6829;82.1777;64.1333;82.1777;82.1777;64.1333;46.0889;43.6829;64.6691;64.6691;37.3345;37.3345;51.0018;44.1682;
24;23.9761;47.7355;84.0529;44.558;84.0529;65.5396;84.0529;84.0529;65.5396;47.0264;44.558;65.9045;65.9045;37.9522;37.9522;51.9283;44.9403;
25;24.2699;48.5287;85.8545;45.3988;85.8545;66.8909;85.8545;85.8545;66.8909;47.9272;45.3988;67.0796;67.0796;38.5398;38.5398;52.8097;45.6748;
26;24.5494;49.2833;87.5854;46.2065;87.5854;68.1891;87.5854;87.5854;68.1891;48.7927;46.2065;68.1975;68.1975;39.0987;39.0987;53.6481;46.3734;
27;24.8152;50.001;89.2485;46.9827;89.2485;69.4364;89.2485;89.2485;69.4364;49.6243;46.9827;69.2608;69.2608;39.6304;39.6304;54.4456;47.038;
28;25.0681;50.6838;90.8464;47.7283;90.8464;70.6348;90.8464;90.8464;70.6348;50.4232;47.7283;70.2722;70.2722;40.1361;40.1361;55.2042;47.6702;
29;25.3086;51.3332;92.3817;48.4448;92.3817;71.7862;92.3817;92.3817;71.7862;51.1908;48.4448;71.2344;71.2344;40.6172;40.6172;55.9258;48.2715;
30;25.5374;51.951;93.8567;49.1331;93.8567;72.8925;93.8567;93.8567;72.8925;51.9283;49.1331;72.1496;72.1496;41.0748;41.0748;56.6122;48.8435;
31;25.755;52.5386;95.2739;49.7945;95.2739;73.9554;95.2739;95.2739;73.9554;52.6369;49.7945;73.0202;73.0202;41.5101;41.5101;57.2651;49.3876;
32;25.9621;53.0976;96.6355;50.4299;96.6355;74.9766;96.6355;96.6355;74.9766;53.3178;50.4299;73.8483;73.8483;41.9241;41.9241;57.8862;49.9052;
33;26.159;53.6293;97.9438;51.0404;97.9438;75.9578;97.9438;97.9438;75.9578;53.9719;51.0404;74.636;74.636;42.318;42.318;58.477;50.3975;
34;26.3463;54.1351;99.2007;51.627;99.2007;76.9005;99.2007;99.2007;76.9005;54.6004;51.627;75.3853;75.3853;42.6927;42.6927;59.039;50.8658;
35;26.5245;54.6162;100.408;52.1906;100.408;77.8063;100.408;100.408;77.8063;55.2042;52.1906;76.0981;76.0981;43.049;43.049;59.5736;51.3113;
36;26.694;55.0739;101.569;52.732;101.569;78.6765;101.569;101.569;78.6765;55.7843;52.732;76.7761;76.7761;43.388;43.388;60.0821;51.7351;
37;26.8553;55.5092;102.683;53.2523;102.683;79.5126;102.683;102.683;79.5126;56.3417;53.2523;77.421;77.421;43.7105;43.7105;60.5658;52.1381;
38;27.0086;55.9233;103.755;53.7521;103.755;80.3159;103.755;103.755;80.3159;56.8773;53.7521;78.0345;78.0345;44.0173;44.0173;61.0259;52.5216;
39;27.1545;56.3172;104.784;54.2324;104.784;81.0878;104.784;104.784;81.0878;57.3918;54.2324;78.6181;78.6181;44.309;44.309;61.4636;52.8863;
40;27.2933;56.6919;105.772;54.6938;105.772;81.8293;105.772;105.772;81.8293;57.8862;54.6938;79.1732;79.1732;44.5866;44.5866;61.8799;53.2332;
41;27.4253;57.0483;106.722;55.1371;106.722;82.5418;106.722;106.722;82.5418;58.3612;55.1371;79.7012;79.7012;44.8506;44.8506;62.2759;53.5633;
42;27.5509;57.3874;107.635;55.5631;107.635;83.2263;107.635;107.635;83.2263;58.8176;55.5631;80.2035;80.2035;45.1017;45.1017;62.6526;53.8772;
43;27.6703;57.7099;108.512;55.9723;108.512;83.884;108.512;108.512;83.884;59.256;55.9723;80.6813;80.6813;45.3406;45.3406;63.011;54.1758;
44;27.7839;58.0166;109.355;56.3655;109.355;84.516;109.355;109.355;84.516;59.6773;56.3655;81.1357;81.1357;45.5679;45.5679;63.3518;54.4598;
45;27.892;58.3084;110.164;56.7433;110.164;85.1231;110.164;110.164;85.1231;60.0821;56.7433;81.5681;81.5681;45.784;45.784;63.676;54.73;
46;27.9948;58.586;110.942;57.1062;110.942;85.7064;110.942;110.942;85.7064;60.471;57.1062;81.9793;81.9793;45.9896;45.9896;63.9845;54.9871;
47;28.0926;58.8501;111.689;57.455;111.689;86.2669;111.689;111.689;86.2669;60.8446;57.455;82.3705;82.3705;46.1852;46.1852;64.2779;55.2315;
48;28.1856;59.1012;112.407;57.79;112.407;86.8054;112.407;112.407;86.8054;61.2036;57.79;82.7426;82.7426;46.3713;46.3713;64.5569;55.4641;
49;28.2741;59.3401;113.097;58.1119;113.097;87.3227;113.097;113.097;87.3227;61.5485;58.1119;83.0965;83.0965;46.5483;46.5483;64.8224;55.6853;
50;28.3583;59.5674;113.76;58.4212;113.76;87.8198;113.76;113.76;87.8198;61.8799;58.4212;83.4332;83.4332;46.7166;46.7166;65.0749;55.8958;
51;28.4384;59.7836;114.397;58.7184;114.397;88.2974;114.397;114.397;88.2974;62.1983;58.7184;83.7535;83.7535;46.8767;46.8767;65.3151;56.0959;
52;28.5145;59.9892;115.008;59.0039;115.008;88.7563;115.008;115.008;88.7563;62.5042;59.0039;84.0581;84.0581;47.0291;47.0291;65.5436;56.2863;
53;28.587;60.1848;115.596;59.2782;115.596;89.1972;115.596;115.596;89.1972;62.7981;59.2782;84.3479;84.3479;47.174;47.174;65.7609;56.4674;
54;28.6559;60.3709;116.161;59.5418;116.161;89.6207;116.161;116.161;89.6207;63.0805;59.5418;84.6236;84.6236;47.3118;47.3118;65.9677;56.6397;
55;28.7214;60.5479;116.704;59.795;116.704;90.0277;116.704;116.704;90.0277;63.3518;59.795;84.8858;84.8858;47.4429;47.4429;66.1643;56.8036;
56;28.7838;60.7163;117.225;60.0383;117.225;90.4187;117.225;117.225;90.4187;63.6125;60.0383;85.1352;85.1352;47.5676;47.5676;66.3514;56.9595;
