
Начало измерений 15:42:22 30.08.2022

Канал №1 - Cтанина
Канал №2 - Подшипниковый узел справа сзади
Канал №3 - Лобовая часть слева спереди
Канал №4 - Подшипниковый узел слева спереди
Канал №5 - Подшипниковый узел слева спереди
Канал №6 - Лобовая часть слева сзади
Канал №7 - Лобовая часть справа спереди
Канал №8 - Лобовая часть справа сзади
Канал №9 - Магнитопровод статора
Канал №10 - Подшипниковый узел справа спереди
Канал №11 - Подшипниковый узел слева сзади
Канал №12 - Ротор сверху
Канал №13 - Ротор снизу
Канал №14 - Станина слева
Канал №15 - Станина слева
Канал №16 - Вал
Канал №17 - Клеммная коробка

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;Канал №10;Канал №11;Канал №12;Канал №13;Канал №14;Канал №15;Канал №16;Канал №17;
0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
1;10.9754;12.6336;14.7053;12.1958;14.7053;13.529;14.7053;14.7053;13.529;12.3526;12.1958;13.9016;13.9016;11.9508;11.9508;12.9262;12.4385;
2;11.9033;15.1388;19.226;14.3055;19.226;16.9195;19.226;19.226;16.9195;14.613;14.3055;17.613;17.613;13.8065;13.8065;15.7098;14.7581;
3;12.7858;17.5218;23.5695;16.3325;23.5695;20.1772;23.5695;23.5695;20.1772;16.7848;16.3325;21.1434;21.1434;15.5717;15.5717;18.3575;16.9646;
4;13.6254;19.7885;27.7427;18.2799;27.7427;23.3071;27.7427;27.7427;23.3071;18.8714;18.2799;24.5015;24.5015;17.2508;17.2508;20.8762;19.0635;
5;14.424;21.9448;31.7523;20.1511;31.7523;26.3142;31.7523;31.7523;26.3142;20.8762;20.1511;27.6959;27.6959;18.848;18.848;23.272;21.06;
6;15.1836;23.9958;35.6047;21.9488;35.6047;29.2035;35.6047;35.6047;29.2035;22.8023;21.9488;30.7345;30.7345;20.3673;20.3673;25.5509;22.9591;
7;15.9062;25.9468;39.306;23.6761;39.306;31.9795;39.306;39.306;31.9795;24.653;23.6761;33.625;33.625;21.8125;21.8125;27.7187;24.7656;
8;16.5936;27.8027;42.8621;25.3357;42.8621;34.6466;42.8621;42.8621;34.6466;26.4311;25.3357;36.3744;36.3744;23.1872;23.1872;29.7808;26.484;
9;17.2474;29.5681;46.2788;26.9301;46.2788;37.2091;46.2788;46.2788;37.2091;28.1394;26.9301;38.9897;38.9897;24.4949;24.4949;31.7423;28.1186;
10;17.8694;31.2473;49.5616;28.4621;49.5616;39.6712;49.5616;49.5616;39.6712;29.7808;28.4621;41.4775;41.4775;25.7388;25.7388;33.6082;29.6735;
11;18.461;32.8447;52.7156;29.934;52.7156;42.0367;52.7156;52.7156;42.0367;31.3578;29.934;43.844;43.844;26.922;26.922;35.383;31.1525;
12;19.0238;34.3642;55.746;31.3481;55.746;44.3095;55.746;55.746;44.3095;32.873;31.3481;46.0951;46.0951;28.0475;28.0475;37.0713;32.5594;
