
Начало измерений 16:04:18 15.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;219.91;219.91;219.91;23.3342;23.3342;23.3342;67.2701;13.9612;20;
0.064;219.91;219.91;219.91;9.39939;9.39939;9.39939;162.842;10.4889;20;
0.096;219.91;219.91;219.91;3.2134;3.2134;3.2134;151.58;3.08075;20;
0.128;219.91;219.91;219.91;3.53817;3.53817;3.53817;157.037;-3.23524;20;
0.16;219.91;219.91;219.91;3.21049;3.21049;3.21049;157.873;0.23746;20;
0.192;219.91;219.91;219.91;3.11341;3.11341;3.11341;156.641;0.582992;20;
0.224;219.91;219.91;219.91;3.17227;3.17227;3.17227;156.776;-0.185637;20;
0.256;219.91;219.91;219.91;3.17542;3.17542;3.17542;156.986;-0.0704928;20;
0.288;219.91;219.91;219.91;3.16225;3.16225;3.16225;156.91;0.0534264;20;
0.32;219.91;219.91;219.91;3.16464;3.16464;3.16464;156.887;0.00110501;20;
0.352;219.91;219.91;219.91;3.16665;3.16665;3.16665;156.907;-0.0107806;20;
0.384;219.91;219.91;219.91;3.16569;3.16569;3.16569;156.907;0.00235871;20;
0.416;219.91;219.91;219.91;3.16552;3.16552;3.16552;156.903;0.00155858;20;
0.448;219.91;219.91;219.91;3.16575;3.16575;3.16575;156.904;-0.000836776;20;
0.48;219.91;219.91;219.91;3.16573;3.16573;3.16573;156.904;-0.000106859;20;
0.512;219.91;219.91;219.91;3.16569;3.16569;3.16569;156.904;0.000190263;20;
0.544;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;-2.44309e-05;20;
0.576;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.16167e-05;20;
0.608;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;1.23648e-05;20;
0.64;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;3.26921e-06;20;
