
Начало измерений 23:38:28 09.05.2023

Канал №1 - Cтанина
Канал №2 - Подшипниковый узел справа сзади
Канал №3 - Лобовая часть слева спереди
Канал №4 - Подшипниковый узел слева спереди
Канал №5 - Подшипниковый узел слева спереди
Канал №6 - Лобовая часть слева сзади
Канал №7 - Лобовая часть справа спереди
Канал №8 - Лобовая часть справа сзади
Канал №9 - Магнитопровод статора
Канал №10 - Подшипниковый узел справа спереди
Канал №11 - Подшипниковый узел слева сзади
Канал №12 - Ротор сверху
Канал №13 - Ротор снизу
Канал №14 - Станина слева
Канал №15 - Станина слева
Канал №16 - Вал
Канал №17 - Клеммная коробка

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;Канал №10;Канал №11;Канал №12;Канал №13;Канал №14;Канал №15;Канал №16;Канал №17;

Начало измерений 23:38:33 09.05.2023

Канал №1 - Cтанина
Канал №2 - Подшипниковый узел справа сзади
Канал №3 - Лобовая часть слева спереди
Канал №4 - Подшипниковый узел слева спереди
Канал №5 - Подшипниковый узел слева спереди
Канал №6 - Лобовая часть слева сзади
Канал №7 - Лобовая часть справа спереди
Канал №8 - Лобовая часть справа сзади
Канал №9 - Магнитопровод статора
Канал №10 - Подшипниковый узел справа спереди
Канал №11 - Подшипниковый узел слева сзади
Канал №12 - Ротор сверху
Канал №13 - Ротор снизу
Канал №14 - Станина слева
Канал №15 - Станина слева
Канал №16 - Вал
Канал №17 - Клеммная коробка

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;Канал №10;Канал №11;Канал №12;Канал №13;Канал №14;Канал №15;Канал №16;Канал №17;
0;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;
1;20.9754;22.6336;24.7053;22.1958;24.7053;23.529;24.7053;24.7053;23.529;22.3526;22.1958;23.9016;23.9016;21.9508;21.9508;22.9262;22.4385;
2;21.9033;25.1388;29.226;24.3055;29.226;26.9195;29.226;29.226;26.9195;24.613;24.3055;27.613;27.613;23.8065;23.8065;25.7098;24.7581;
3;22.7858;27.5218;33.5695;26.3325;33.5695;30.1772;33.5695;33.5695;30.1772;26.7848;26.3325;31.1434;31.1434;25.5717;25.5717;28.3575;26.9646;
4;23.6254;29.7885;37.7427;28.2799;37.7427;33.3071;37.7427;37.7427;33.3071;28.8714;28.2799;34.5015;34.5015;27.2508;27.2508;30.8762;29.0635;
5;24.424;31.9448;41.7523;30.1511;41.7523;36.3142;41.7523;41.7523;36.3142;30.8762;30.1511;37.6959;37.6959;28.848;28.848;33.272;31.06;
6;25.1836;33.9958;45.6047;31.9488;45.6047;39.2035;45.6047;45.6047;39.2035;32.8023;31.9488;40.7345;40.7345;30.3673;30.3673;35.5509;32.9591;
7;25.9062;35.9468;49.306;33.6761;49.306;41.9795;49.306;49.306;41.9795;34.653;33.6761;43.625;43.625;31.8125;31.8125;37.7187;34.7656;
8;26.5936;37.8027;52.8621;35.3357;52.8621;44.6466;52.8621;52.8621;44.6466;36.4311;35.3357;46.3744;46.3744;33.1872;33.1872;39.7808;36.484;
9;27.2474;39.5681;56.2788;36.9301;56.2788;47.2091;56.2788;56.2788;47.2091;38.1394;36.9301;48.9897;48.9897;34.4949;34.4949;41.7423;38.1186;
10;27.8694;41.2473;59.5616;38.4621;59.5616;49.6712;59.5616;59.5616;49.6712;39.7808;38.4621;51.4775;51.4775;35.7388;35.7388;43.6082;39.6735;
11;28.461;42.8447;62.7156;39.934;62.7156;52.0367;62.7156;62.7156;52.0367;41.3578;39.934;53.844;53.844;36.922;36.922;45.383;41.1525;
12;29.0238;44.3642;65.746;41.3481;65.746;54.3095;65.746;65.746;54.3095;42.873;41.3481;56.0951;56.0951;38.0475;38.0475;47.0713;42.5594;
13;29.5591;45.8095;68.6575;42.7068;68.6575;56.4932;68.6575;68.6575;56.4932;44.3288;42.7068;58.2363;58.2363;39.1182;39.1182;48.6773;43.8977;
14;30.0683;47.1844;71.4549;44.0123;71.4549;58.5912;71.4549;71.4549;58.5912;45.7275;44.0123;60.2732;60.2732;40.1366;40.1366;50.2049;45.1707;
15;30.5527;48.4922;74.1426;45.2665;74.1426;60.607;74.1426;74.1426;60.607;47.0713;45.2665;62.2107;62.2107;41.1053;41.1053;51.658;46.3817;
16;31.0134;49.7362;76.7249;46.4716;76.7249;62.5437;76.7249;76.7249;62.5437;48.3625;46.4716;64.0537;64.0537;42.0268;42.0268;53.0403;47.5336;
17;31.4517;50.9196;79.206;47.6294;79.206;64.4045;79.206;79.206;64.4045;49.603;47.6294;65.8068;65.8068;42.9034;42.9034;54.3551;48.6293;
18;31.8686;52.0452;81.5897;48.7419;81.5897;66.1923;81.5897;81.5897;66.1923;50.7949;48.7419;67.4744;67.4744;43.7372;43.7372;55.6058;49.6715;
19;32.2652;53.116;83.88;49.8107;83.88;67.91;83.88;83.88;67.91;51.94;49.8107;69.0607;69.0607;44.5304;44.5304;56.7955;50.6629;
20;32.6424;54.1345;86.0805;50.8376;86.0805;69.5604;86.0805;86.0805;69.5604;53.0403;50.8376;70.5696;70.5696;45.2848;45.2848;57.9272;51.606;
