
Начало измерений 15:54:23 30.08.2022

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;219.91;219.91;219.91;24.5467;24.5467;24.5467;2.76564;33.8218;20;
0.064;219.91;219.91;219.91;24.9582;24.9582;24.9582;16.6088;-1.47987;20;
0.096;219.91;219.91;219.91;23.3304;23.3304;23.3304;16.4815;35.2651;20;
0.128;219.91;219.91;219.91;24.6127;24.6127;24.6127;29.2642;12.9892;20;
0.16;219.91;219.91;219.91;22.9127;22.9127;22.9127;39.0249;27.2424;20;
0.192;219.91;219.91;219.91;22.224;22.224;22.224;63.947;29.7413;20;
0.224;219.91;219.91;219.91;20.0493;20.0493;20.0493;100.001;33.7103;20;
0.256;219.91;219.91;219.91;11.7794;11.7794;11.7794;142.641;27.9893;20;
0.288;219.91;219.91;219.91;6.66029;6.66029;6.66029;146.269;19.2534;20;
0.32;219.91;219.91;219.91;6.52559;6.52559;6.52559;147.97;19.3595;20;
0.352;219.91;219.91;219.91;6.57693;6.57693;6.57693;147.583;19.8808;20;
0.384;219.91;219.91;219.91;6.51918;6.51918;6.51918;147.557;19.6401;20;
0.416;219.91;219.91;219.91;6.52648;6.52648;6.52648;147.622;19.6485;20;
0.448;219.91;219.91;219.91;6.5311;6.5311;6.5311;147.604;19.677;20;
0.48;219.91;219.91;219.91;6.52853;6.52853;6.52853;147.602;19.6662;20;
0.512;219.91;219.91;219.91;6.52878;6.52878;6.52878;147.605;19.6661;20;
0.544;219.91;219.91;219.91;6.52904;6.52904;6.52904;147.604;19.6675;20;
0.576;219.91;219.91;219.91;6.52892;6.52892;6.52892;147.604;19.6671;20;
0.608;219.91;219.91;219.91;6.52892;6.52892;6.52892;147.604;19.667;20;
0.64;219.91;219.91;219.91;6.52894;6.52894;6.52894;147.604;19.6671;20;
0.672;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.704;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.736;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.768;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.8;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.832;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.864;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.896;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.928;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.96;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.992;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.024;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.056;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.088;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.12;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.152;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.184;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.216;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.248;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.28;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.312;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.344;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.376;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.408;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.44;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.472;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.504;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.536;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.568;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.6;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.632;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.664;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.696;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
